"Date","Price","Open","High","Low","Vol.","Change %"
"03/05/2021","733.03","732.10","738.80","728.32","16.25K","0.15%"
"03/04/2021","731.90","727.53","733.20","724.30","17.59K","0.65%"
"03/03/2021","727.20","729.00","734.90","727.05","16.65K","-0.22%"
"03/02/2021","728.79","722.93","733.17","720.40","15.91K","0.86%"
"03/01/2021","722.55","723.89","725.34","718.16","12.98K","-0.13%"
"02/26/2021","723.51","715.98","728.38","715.98","13.26K","1.08%"
"02/25/2021","715.78","700.90","718.33","697.39","16.17K","2.14%"
"02/24/2021","700.75","704.71","706.55","698.94","15.39K","-0.51%"
"02/23/2021","704.33","706.98","708.53","704.09","14.57K","-0.32%"
"02/22/2021","706.60","708.65","712.20","706.39","11.85K","-0.25%"
"02/19/2021","708.40","710.98","710.98","703.85","13.56K","-0.33%"
"02/18/2021","710.73","713.19","714.75","708.05","15.78K","-0.31%"
"02/17/2021","712.94","718.58","722.85","712.44","15.14K","-0.75%"
"02/16/2021","718.33","719.33","719.90","714.16","13.74K","-0.05%"
"02/15/2021","718.70","721.75","722.10","715.57","10.47K","-0.39%"
"02/12/2021","721.50","726.25","727.76","720.00","8.44K","-0.59%"
"02/11/2021","725.75","725.13","727.25","719.78","9.03K","0.12%"
"02/10/2021","724.88","734.68","734.68","723.45","9.22K","-1.30%"
"02/09/2021","734.40","735.50","735.66","729.87","9.28K","-0.11%"
"02/08/2021","735.20","739.01","740.18","732.63","7.83K","-0.48%"
"02/05/2021","738.76","735.65","739.44","732.30","13.02K","0.46%"
"02/04/2021","735.40","732.63","739.95","732.45","13.02K","0.41%"
"02/03/2021","732.38","732.63","735.43","728.90","14.46K","-0.01%"
"02/02/2021","732.44","733.75","739.13","730.39","14.05K","-0.14%"
"02/01/2021","733.50","734.82","738.46","725.50","13.36K","-0.15%"
"01/29/2021","734.59","735.96","738.80","731.26","8.14K","-0.15%"
"01/28/2021","735.73","738.63","745.69","735.21","9.08K","-0.35%"
"01/27/2021","738.33","733.20","740.58","732.33","8.30K","0.73%"
"01/26/2021","732.95","732.98","734.22","727.31","8.82K","0.03%"
"01/25/2021","732.75","727.61","736.59","723.65","8.10K","0.74%"
"01/22/2021","727.38","717.38","729.33","717.38","8.25K","1.43%"
"01/21/2021","717.15","722.10","722.10","711.00","8.57K","-0.65%"
"01/20/2021","721.87","737.28","738.50","720.58","7.57K","-2.05%"
"01/19/2021","737.00","734.00","739.11","728.32","6.63K","0.48%"
"01/18/2021","733.50","734.80","739.55","732.13","2.01K","-0.14%"
"01/15/2021","734.55","726.48","737.76","726.47","8.09K","1.15%"
"01/14/2021","726.23","737.75","741.32","725.27","14.44K","-1.49%"
"01/13/2021","737.25","725.00","745.82","724.08","15.27K","1.72%"
"01/12/2021","724.75","719.48","729.33","716.85","14.34K","0.77%"
"01/11/2021","719.23","712.13","721.50","712.04","11.01K","1.03%"
"01/08/2021","711.88","712.78","715.06","707.60","11.89K","-0.08%"
"01/07/2021","712.45","696.50","713.30","696.03","12.60K","2.33%"
"01/06/2021","696.25","695.88","700.90","692.60","11.70K","0.09%"
"01/05/2021","695.63","704.30","705.90","695.67","12.36K","-1.20%"
"01/04/2021","704.05","710.50","710.93","700.84","11.25K","-0.80%"
"01/01/2021","709.75","710.50","710.50","710.50","","0.00%"
"12/31/2020","709.75","710.50","710.95","710.00","0.58K","-0.04%"
"12/30/2020","710.00","715.36","715.39","707.45","4.30K","-0.71%"
"12/29/2020","715.08","712.01","715.60","708.24","7.20K","0.48%"
"12/28/2020","711.63","714.76","714.82","707.69","5.51K","-0.38%"
"12/25/2020","714.38","714.76","714.76","714.76","","0.00%"
"12/24/2020","714.38","714.08","715.03","705.49","4.62K","0.10%"
"12/23/2020","713.70","722.70","722.70","712.42","7.77K","-1.21%"
"12/22/2020","722.45","725.55","732.59","721.73","13.77K","-0.36%"
"12/21/2020","725.05","725.26","736.80","724.75","6.92K","-0.01%"
"12/18/2020","725.13","721.86","727.90","718.65","13.05K","0.50%"
"12/17/2020","721.53","734.18","734.18","720.04","10.75K","-1.67%"
"12/16/2020","733.80","736.13","737.61","731.96","10.91K","-0.27%"
"12/15/2020","735.75","735.34","737.45","729.65","12.58K","0.09%"
"12/14/2020","735.10","734.28","736.18","729.19","8.98K","0.15%"
"12/11/2020","734.03","734.75","737.77","730.17","13.77K","-0.06%"
