"Date","Price","Open","High","Low","Change %"
"05/10/2019","23.263","23.263","23.263","23.263","0.07%"
"05/09/2019","23.247","23.247","23.247","23.247","0.22%"
"05/08/2019","23.197","23.197","23.197","23.197","0.07%"
"05/07/2019","23.181","23.181","23.181","23.181","0.07%"
"05/06/2019","23.164","23.164","23.164","23.164","0.07%"
"05/03/2019","23.148","23.148","23.148","23.148","0.07%"
"05/02/2019","23.132","23.132","23.132","23.132","0.21%"
"04/30/2019","23.083","23.083","23.083","23.083","0.07%"
"04/29/2019","23.066","23.066","23.066","23.066","0.14%"
"04/26/2019","23.034","23.034","23.034","23.034","0.07%"
"04/25/2019","23.018","23.018","23.018","23.018","0.21%"
"04/24/2019","22.969","22.969","22.969","22.969","0.07%"
"04/23/2019","22.953","22.953","22.953","22.953","0.07%"
"04/22/2019","22.937","22.937","22.937","22.937","0.07%"
"04/17/2019","22.921","22.921","22.921","22.921","0.07%"
"04/16/2019","22.905","22.905","22.905","22.905","0.35%"
"04/15/2019","22.826","22.826","22.826","22.826","0.08%"
"04/12/2019","22.808","22.808","22.808","22.808","0.07%"
"04/11/2019","22.791","22.791","22.791","22.791","0.23%"
"04/10/2019","22.739","22.739","22.739","22.739","0.08%"
"04/09/2019","22.721","22.721","22.721","22.721","0.07%"
"04/08/2019","22.704","22.704","22.704","22.704","0.07%"
"04/05/2019","22.687","22.687","22.687","22.687","0.07%"
"04/04/2019","22.670","22.670","22.670","22.670","1.79%"
"04/03/2019","22.271","22.271","22.271","22.271","0.08%"
"04/01/2019","22.254","22.254","22.254","22.254","0.07%"
"03/29/2019","22.238","22.238","22.238","22.238","0.15%"
"03/28/2019","22.204","22.204","22.204","22.204","0.15%"
"03/27/2019","22.171","22.171","22.171","22.171","3.19%"
"03/26/2019","21.486","21.486","21.486","21.486","0.07%"
"03/25/2019","21.470","21.470","21.470","21.470","0.07%"
"03/22/2019","21.454","21.454","21.454","21.454","0.07%"
"03/21/2019","21.438","21.438","21.438","21.438","0.22%"
"03/20/2019","21.391","21.391","21.391","21.391","0.07%"
"03/19/2019","21.375","21.375","21.375","21.375","0.07%"
"03/18/2019","21.360","21.360","21.360","21.360","0.07%"
"03/15/2019","21.344","21.344","21.344","21.344","0.07%"
"03/14/2019","21.329","21.329","21.329","21.329","0.22%"
"03/13/2019","21.282","21.282","21.282","21.282","0.07%"
"03/12/2019","21.267","21.267","21.267","21.267","0.08%"
"03/11/2019","21.251","21.251","21.251","21.251","0.07%"
"03/08/2019","21.236","21.236","21.236","21.236","0.07%"
"03/07/2019","21.221","21.221","21.221","21.221","0.22%"
"03/06/2019","21.175","21.175","21.175","21.175","0.08%"
"03/01/2019","21.159","21.159","21.159","21.159","0.07%"
"02/28/2019","21.144","21.144","21.144","21.144","0.36%"
"02/27/2019","21.068","21.068","21.068","21.068","0.07%"
"02/26/2019","21.053","21.053","21.053","21.053","0.21%"
"02/25/2019","21.008","21.008","21.008","21.008","0.07%"
"02/22/2019","20.993","20.993","20.993","20.993","0.07%"
"02/21/2019","20.978","20.978","20.978","20.978","0.21%"
"02/20/2019","20.934","20.934","20.934","20.934","0.07%"
"02/19/2019","20.919","20.919","20.919","20.919","0.07%"
"02/18/2019","20.904","20.904","20.904","20.904","0.07%"
"02/15/2019","20.889","20.889","20.889","20.889","0.07%"
"02/14/2019","20.874","20.874","20.874","20.874","0.21%"
"02/13/2019","20.830","20.830","20.830","20.830","0.07%"
"02/12/2019","20.815","20.815","20.815","20.815","0.07%"
"02/11/2019","20.801","20.801","20.801","20.801","0.07%"
"02/08/2019","20.786","20.786","20.786","20.786","0.07%"
"02/07/2019","20.771","20.771","20.771","20.771","0.21%"
"02/06/2019","20.728","20.728","20.728","20.728","0.07%"
"02/05/2019","20.713","20.713","20.713","20.713","-2.91%"
"02/04/2019","21.333","21.333","21.333","21.333","0.07%"
"02/01/2019","21.318","21.318","21.318","21.318","0.07%"
"01/31/2019","21.303","21.303","21.303","21.303","0.21%"
"01/30/2019","21.258","21.258","21.258","21.258","0.07%"
"01/29/2019","21.243","21.243","21.243","21.243","0.00%"
"01/28/2019","21.243","21.243","21.243","21.243","0.07%"
"01/25/2019","21.228","21.228","21.228","21.228","0.07%"
"01/24/2019","21.213","21.213","21.213","21.213","0.21%"
"01/23/2019","21.169","21.169","21.169","21.169","0.07%"
"01/22/2019","21.154","21.154","21.154","21.154","0.07%"
"01/21/2019","21.139","21.139","21.139","21.139","0.07%"
"01/18/2019","21.124","21.124","21.124","21.124","0.07%"
"01/17/2019","21.109","21.109","21.109","21.109","0.21%"
"01/16/2019","21.065","21.065","21.065","21.065","0.07%"
"01/15/2019","21.051","21.051","21.051","21.051","0.07%"
"01/14/2019","21.036","21.036","21.036","21.036","0.07%"
"01/11/2019","21.021","21.021","21.021","21.021","0.07%"
