Date,Price,Open,High,Low,Vol.,Change %
2020-09-25,166.96,163.78,167.44,163.53,2.99M,1.19%
2020-09-24,164.99,163.92,166.69,162.85,3.79M,0.21%
2020-09-23,164.64,169.0,169.13,164.35,2.07M,-2.41%
2020-09-22,168.71,167.76,168.93,166.37,2.09M,0.99%
2020-09-21,167.05,166.47,167.06,164.27,4.18M,-1.21%
2020-09-18,169.09,171.21,171.21,167.53,3.18M,-0.97%
2020-09-17,170.75,169.56,171.54,169.22,2.78M,-0.82%
2020-09-16,172.17,173.46,174.38,172.07,2.83M,-0.33%
2020-09-15,172.74,173.2,173.64,172.11,2.13M,0.57%
2020-09-14,171.76,171.0,172.37,170.6,3.08M,1.56%
2020-09-13,169.12,169.12,169.12,169.12,,0.00%
2020-09-11,169.12,170.24,170.56,167.5,3.41M,0.04%
2020-09-10,169.06,173.06,173.49,168.6,3.51M,-1.64%
2020-09-09,171.88,170.83,173.14,170.33,4.29M,1.96%
2020-09-08,168.58,170.3,171.04,168.36,3.98M,-2.81%
2020-09-04,173.45,175.34,176.14,169.2,4.38M,-0.85%
2020-09-03,174.94,180.0,180.49,173.51,5.34M,-3.48%
2020-09-02,181.24,180.0,181.67,179.01,4.02M,1.34%
2020-09-01,178.85,177.69,178.99,177.16,2.88M,0.89%
2020-08-31,177.28,177.66,178.14,176.95,3.19M,-0.23%
2020-08-30,177.68,177.68,177.68,177.68,,0.00%
2020-08-28,177.68,177.18,177.71,176.53,4.16M,0.70%
2020-08-27,176.45,176.52,177.29,175.53,3.44M,0.24%
2020-08-26,176.03,174.73,176.18,174.48,2.44M,0.91%
2020-08-25,174.45,174.22,174.47,173.42,5.16M,0.33%
2020-08-24,173.87,173.51,173.87,172.87,2.47M,0.96%
2020-08-23,172.22,172.22,172.22,172.22,,0.00%
2020-08-22,172.22,172.22,172.22,172.22,,0.00%
2020-08-21,172.22,171.54,172.3,171.41,2.28M,0.25%
2020-08-20,171.79,170.26,172.06,170.19,2.18M,0.29%
2020-08-19,171.3,172.17,172.5,170.99,2.29M,-0.39%
2020-08-18,171.97,172.0,172.27,170.98,3.55M,0.15%
2020-08-17,171.71,171.43,171.86,171.38,3.42M,0.43%
2020-08-14,170.98,170.72,171.29,170.38,2.21M,-0.03%
2020-08-13,171.03,170.79,171.75,170.48,2.25M,-0.08%
2020-08-12,171.16,170.37,171.52,170.34,3.37M,1.34%
2020-08-11,168.9,171.0,171.33,168.48,3.12M,-0.80%
2020-08-10,170.27,170.03,170.39,169.05,2.50M,0.28%
2020-08-09,169.8,169.8,169.8,169.8,,0.00%
2020-08-08,169.8,169.8,169.8,169.8,,0.00%
2020-08-07,169.8,169.22,169.95,168.6,2.19M,0.08%
